contract_id,pregunta_id,pregunta,sum_pregunta_isAcusatoria,final_pregunta_isAcusatoria
1641562,1174809,"Favor especificar el alcance de la capacitación, pues el proveedor no entrega ni software niescáner para esta fase. Así mismo, no conoce ni el modelo ni marca del escáner, ni lasfuncionalidades del software SIIM. Favor aclarar.",0,0
1587612,500621,Señores se dará preferencia a que el servicio otorgado por el proveedor sea con mano de obra localpues esto garantizaría una respuesta inmediata en los servicios solicitados dando así apertura alcrecimiento del país y preferencia a que los técnicos sean netamente residentes y de nacionalidadecuatoriana. Por favor sus comentarios al respecto.,0,0
1439639,1578459,"La tarea solicitada: ""Realizar las tareas de provisión de parches y actualizaciones del software devirtualización VMWARE que posee el SERCOP, durante el tiempo que dure el contrato"" por favorinformar si, para esto se utilizará el paquete de horas de soporte local solicitado?",0,0
936351,266462,Estimada entidad...ustedes entregaria los artes de cada item?,0,0
1489360,95182,"LOS PERMISOS DE HORARIOS ROTATIVOS EL MINISTERIO DE TRABAJO ENTREGAN CUANDO SE PRESENTAN LOSCONTRATOS FIRMADOS POR LOS TRABAJADORES, EN ESTE CASO NO PODEMOS PEDIR EL PERMISO YA QUE NO PODEMOSHACER FIRMAR LOS CONTRATOS DE TRABAJO. PODEMOS PRESENTAR UN CARTA DE COMPROMISO EN CASO DE SERADJUDICADO PRESENTAR EL PERMISO.",0,0
1273728,365825,"Entendemos que para la Tablet que se solicita como dispositivo móvil para recolección de datos delos medidores, se puede utilizar sistema operativo Windows 10. Favor confirmar",0,0
1456382,1429949,"Se indica que requieren reforzamiento e instalación de acometidas eléctricas para los pisos.Indique cuáles son los calibres de cables de cada una de las acometidas existentes y cuál es lanueva carga total que deben soportar? Indique, qué longitud tienen cada una de las acometidas?",0,0
1403928,782621,"Si la empresa les provee de un webservice para realizar los envíos de SMS, Uds. podrían ajustarseal mismo?",0,0
784194,863123,Explicar y definir que es el certificado otorgado por el CAS. o verificvar porque en la lineasiguiente dicen equipos topograficos??Sres. Seria mas viable como se ha hecho en otros procesospedir los certificados notariados solo al proveedor adjudicado reveer este punto,0,0
711210,889783,"Estimados señores: deseamos saber si las Empresas que tienen la autorización de la SENATEL por laConcesión de Prestación de Servicios Finales de Telecomunicaciones por Satélite estarían en lamisma condición de participar que las Empresas que no lo poseen? Estaremos atentos a surespuesta, Muchas Gracias",0,0
1499263,455722,BUENAS TARDES MIEMBROS DE CALIFICACION POR FAVOR INDICAR SI ESTE PROCESO DEBE SER SOLO EN IMPRESIONYA QUE EN LOS TERMINOS DE REFERENCIA USTEDES INDICAN IMPRESOS EN SISTEMA DIGITAL DE TRAFICO.,0,0
6886,965387,"HAY LA POSIBILIDAD DE AMPLIAR EL PLAZO EN LA ENTREGA DE LOS ITEMS 60 Y 63 A 20 DIAS,YA QUE NODISPONEMOS AL MOMENTO EN STOCK?",0,0
1469481,118396,Dentro del personal técnico indicar a que se refiere con operadores?,0,0
1235335,1209199,Estimados senores necesitasmo saber los kilos promedio reales as ser procesados y el costo por kilode ropa procesada ya que debemos sacr los costos financieros del negocio por favor.,0,0
1327803,1589417,"1. En la sección III, Condiciones del Procedimiento en el liteleral 3.4 Forma de presentar laoferta, menciona como opción presentar la oferta a travez del portal. Es necesario enviarlo deambas maneras o basta con enviarlo fisicamente?",0,0
1392410,1110305,"TRACTOR.- SEÑORES DE LA COMISIÓN TÉCNICA SOMOS UNA EMPRESA CON MÁS DE 90 AÑOS EN EL MERCADO,POR LO INDICADO SOLICITAMOS CONSIDEREN ESTA DIFERENCIA MÍNIMA. EN EL RUBRO TRACTOR DE ORUGASUSTEDES SOLICITAN UN PESO DE OPERACIÓN CON UN MÍNIMO DE 19.500 KILOGRAMOS Y MÁXIMO 20.000KILOGRAMOS NO ENTENDEMOS PORQUE LIMITAN EL PESO OPERACIONAL SI ES VENTAJA PARA USTEDES QUE PESE MÁSPOR LA MAYOR CAPACIDAD DE TIRO O EMPUJE QUE TENDRÍA EL TRACTOR. SOLICITAMOS ACEPTE OFERTA CON UNPESO OPERACIONAL DE 20.449 KILOGRAMOS. MUCHAS GRACIAS",1,0
937619,206806,CUNATAS VECES HAY QUE ENTREGAR POR SEMANA LOS PRODUCTOS EN LA UNIDAD?,0,0
1066051,796359,"Solicitamos cordialmente a la Entidad nos permita presentar el título de los Ingenieros queparticiparán en el proyecto de las Universidades en donde han terminado su carrera, ya que en elpaís donde se encuentra la casa matriz no existe el Senescyt.",0,0
1026221,161495,"Tapas ciegas plásticas redondas, pequeñas o grandes?",0,0
1444768,1565066,Estimados señores por favor solicitamos a ustedes subir al portal una foto del esparadrapomicroporoso que requieren que se entregue en el ítem número 24 gracias,0,0
1086449,369444,"Estimados,En la página 21, en el caso de las garantías técnicas dado que es una solución dondese debe integrar múltiples plataformas de hardware y software, el integrador de la solución es elresponsable de las garantías ante la entidad contratante, por favor considerar que la garantía deperformance, aplicaciones y mano de obra sea otorgada por el vendedor autorizado en este caso eloferente acorde al artículo 76 de la la LOSNCP.",0,0
1508506,696006,"Acerca de la experiencia del personal técnico, para acreditar su experiencia, puede presentarse unoficio del oferente en el cual muestra sus trabajos realizados, ya que los nombres del personaltécnico no se muestran en los contratos anteriores realizados del oferente",0,0
805759,309298,"En el item que solicitan mallas para la prevención de adherencia, por favor aclarar si elproductoes para evitar la adherencias o realizar mas rapida la hemostasia?Gracias por su respuesta",0,0
1094808,1388404,"Estimados. Por favor les solicitamos aumentar el plazo de ejecución a por lo menos 90 días ya queson repuestos de importación, además por estas fechas conseguir cupos de transporte marítimo esmuy complejo y lo dan hasta en 30 días de solicitar la reserva, esto por la demanda que existe.",0,0
1633312,393570,"Estimada Entidad. Favor confirmar el cumplimiento que para el canje de dispositivos, estos seránregulados de acuerdo con lo indicado el Art. 175 de la Ley Orgánica de Salud y su reglamento""sesenta días antes de la fecha de caducidad "" y el porcentaje del 15% establecido en elreglamento.",0,0
